35,25.64,23.02,6,2
34,32.08,30.58,96,3
32,26.13,24.88,116,4
18,21.47,33.06,9,2
8,24.84,30.25,294,4
13,24.14,30.29,206,3
31,25.11,23.51,140,3
4,25.79,22.8,47,2
32,24.19,25.72,230,4
34,24.4,29.63,108,3
36,26.03,22.5,105,4
26,23.24,31.51,211,4
30,22.88,26.45,561,4
-2,24.69,30.57,449,4
26,24.0,29.7,67,4
14,23.79,22.28,35,3
32,24.21,25.65,210,3
32,25.1,23.35,197,3
12,22.27,22.85,17,4
15,24.28,30.25,290,3
8,25.34,23.78,4,4
32,25.77,22.55,820,4
25,25.06,45.93,129,3
34,23.23,30.42,103,4
32,24.4,29.64,632,4
28,24.9,28.76,1267,4
35,26.3,22.41,390,3
35,24.62,1.31,6,2
35,25.7,31.23,148,4
32,21.95,15.03,122,3
35,31.29,29.9,25,4
32,28.87,18.98,9,4
32,23.72,22.28,80,4
32,25.25,28.16,32,4
7,23.8,25.42,248,3
9,24.08,25.78,154,4
32,26.23,22.42,28,4
32,24.4,29.64,632,4
5,15.72,35.21,102,3
13,26.02,22.54,121,4
35,24.14,25.67,11,4
29,25.2,28.22,39,4
31,24.07,30.97,38,4
33,23.63,22.27,8,3
30,19.12,36.92,24,3
34,22.86,28.66,97,4
32,26.33,25.26,96,4
30,25.36,30.08,21,3
26,24.03,25.63,21,3
12,24.33,29.88,7,4
19,26.53,25.59,277,4
15,24.03,28.63,16,4
32,25.01,21.42,9,2
4,24.12,30.3,439,3
14,26.4,25.29,85,3
20,25.52,29.97,202,4
34,25.17,23.29,176,4
37,23.79,22.27,89,4
22,19.43,33.51,55,3
32,24.14,29.66,58,4
8,27.31,25.89,364,4
16,28.13,27.49,139,4
31,25.79,22.54,233,4
30,37.04,32.23,39,4
28,24.9,28.76,1267,4
33,23.09,30.7,288,4
19,28.59,24.37,18,2
31,22.85,27.13,375,3
10,22.81,27.28,169,3
27,26.14,25.08,10,3
37,24.4,29.64,54,4
29,24.05,30.18,209,4
30,23.59,22.33,30,3
32,25.07,28.56,1101,3
33,24.4,29.83,469,4
37,32.49,30.78,104,4
8,23.43,30.53,118,2
32,25.07,28.56,1101,3
34,19.89,29.97,9,5
32,26.0,22.43,72,4
26,22.9,28.43,126,4
18,24.24,30.01,24,3
34,23.92,25.97,34,4
10,25.57,27.7,52,4
30,24.64,12.68,140,4
35,24.55,31.13,61,3
27,22.9,28.07,125,4
34,27.08,26.03,466,3
34,24.34,29.61,22,4
18,15.91,30.21,95,4
32,24.55,31.13,364,3
33,23.75,29.76,3,3
35,24.29,29.89,49,3
6,25.17,23.28,87,4
30,24.41,30.03,169,3
19,25.12,25.16,23,3
8,24.17,29.62,373,4
29,26.34,27.75,83,2
9,22.11,36.67,53,3
32,25.07,28.56,1101,3
32,26.25,25.0,142,4
22,25.17,28.42,546,4
32,24.42,34.06,5,2
31,23.59,30.85,86,4
32,24.11,30.21,13,2
13,22.68,26.9,168,4
29,23.55,36.53,84,4
35,26.45,23.54,144,4
-3,25.43,24.65,17,4
33,26.99,26.11,330,3
31,26.18,22.59,15,4
17,25.71,29.15,201,3
32,19.39,36.33,26,3
34,24.36,30.03,471,4
37,24.02,30.29,131,3
32,24.03,30.26,604,3
32,25.22,28.37,339,4
24,24.22,30.31,10,3
34,26.11,24.85,155,4
32,22.84,27.88,67,4
33,25.16,31.75,98,4
19,29.57,55.63,8,1
13,22.86,28.55,188,4
33,25.85,22.9,131,3
8,28.25,25.14,39,4
8,24.62,31.07,89,2
18,22.8,27.27,13,4
30,24.07,30.26,52,4
29,23.11,30.73,64,2
27,25.94,22.59,12,3
19,23.78,22.01,306,3
15,24.31,30.11,1476,4
-4,22.74,26.91,198,4
16,25.09,28.49,33,4
36,25.73,22.54,97,4
